#OTU ID	IHMS1	IHMS2	IHMS3	IHMS4	IHMS5	IHMS6	MOBIO1	MOBIO2	MOBIO3	MOBIO4	MOBIO5	MOBIO6
OTU_59	52	135	22	24	9	26	33	40	19	36	9	14
OTU_6	831	1575	391	655	100	117	601	556	1018	879	235	295
OTU_60	10	22	11	17	6	1	25	26	29	44	19	30
OTU_61	131	206	141	304	0	0	92	143	207	231	0	10
OTU_62	1	0	0	0	154	92	2	0	0	0	49	20
OTU_63	4	4	98	99	2	2	0	0	81	69	1	2
OTU_64	13	33	0	0	6	4	15	77	1	0	7	20
OTU_65	30	18	35	39	6	14	57	35	74	76	9	26
OTU_66	0	0	0	0	151	263	0	0	0	0	62	73
OTU_67	25	57	0	0	5	8	26	19	0	0	4	11
OTU_68	2	2	46	86	6	8	3	2	197	220	11	24
OTU_69	64	35	129	140	84	102	54	33	46	60	42	71
OTU_7	33	39	90	90	40	103	42	14	23	63	23	54
OTU_70	29	14	30	17	36	45	24	8	9	3	11	4
OTU_71	70	68	11	6	8	8	63	89	12	7	1	18
OTU_72	22	32	30	35	0	0	13	5	21	18	0	0
OTU_73	7	7	0	0	10	23	4	10	0	0	21	43
OTU_74	19	45	32	55	1	4	13	18	19	9	0	0
OTU_75	81	101	0	0	42	41	55	25	2	3	29	53
OTU_76	17	20	146	147	40	56	9	2	36	19	6	4
OTU_77	0	0	0	0	18	23	0	0	0	0	56	67
OTU_78	2	12	23	22	31	63	9	1	11	11	8	31
OTU_79	29	15	1	1	317	95	32	24	0	0	95	218
OTU_8	0	0	0	0	145	282	0	0	0	0	27	152
OTU_80	0	0	0	0	74	71	0	0	0	0	47	57
OTU_81	12	9	107	97	13	18	16	10	45	36	7	9
OTU_82	91	108	111	201	46	37	82	96	532	568	121	123
OTU_83	39	14	0	0	29	81	35	18	0	0	14	19
OTU_84	273	217	603	801	83	269	262	164	285	283	16	90
OTU_85	5	8	7	14	0	10	4	3	6	13	4	6
OTU_86	17	16	20	16	14	11	8	6	6	10	3	10
OTU_87	8	12	1	0	0	0	15	26	0	2	0	0
OTU_88	0	0	0	0	13	52	0	0	0	0	18	25
OTU_89	0	1	0	0	305	878	0	0	0	0	51	197
OTU_9	71	65	745	654	319	565	44	40	177	118	418	274
OTU_90	21	44	0	0	0	1	24	75	0	0	0	0
OTU_91	0	0	0	0	24	16	0	0	0	0	9	71
OTU_92	0	0	0	0	13	14	0	0	0	0	22	5
OTU_93	9	5	12	8	7	7	8	6	7	5	2	1
OTU_94	39	24	0	0	24	24	61	22	0	0	8	20
OTU_95	29	26	36	32	7	14	14	14	5	6	2	3
OTU_96	2	5	11	12	2	7	13	7	8	12	5	13
OTU_97	10	5	3	2	2	6	7	4	1	1	4	2
OTU_98	42	21	12	6	2	2	19	13	4	3	0	1
OTU_99	0	0	0	2	13	12	0	0	0	1	63	15
