sample	Raw_reads	Raw_mean_length	Raw_median_length	Trimmed	Removed	Host_1_time	Host_>1_time	Phi_phage_1_time	Phi_phage_>1_time	Filtered_reads	Filtered_mean_length	Filtered_median_length	Selected_dereplication	Selected_singleton	Selected_chimera	Selected_otu	Mapped_reads	Mapping_percent_proc
ERR2712843	44354	250	250	13314	3379	0	0	1	0	40974	247	250	10923	134	89	2	34060	83.13
ERR2712690	34026	250	250	8269	2762	0	0	0	0	31264	247	250	7770	377	260	6	27277	87.25
ERR2712671	43046	250	250	12292	3943	0	0	0	0	39103	246	250	8560	391	305	4	35125	89.83
ERR2712890	23872	250	250	6964	2150	0	0	1	0	21721	247	250	4311	82	55	0	19390	89.27
ERR2712596	24374	250	250	3644	1198	0	0	0	0	23176	249	250	4643	404	249	1	20267	87.45
ERR2712697	19991	250	250	5228	1589	0	0	0	0	18402	246	250	5826	164	117	1	14854	80.72
ERR2712571	29060	250	250	5315	1953	0	0	3	0	27104	248	250	6457	290	188	2	22505	83.03
ERR2712810	12680	250	250	3897	1196	0	0	1	0	11483	246	250	2667	104	61	1	10033	87.37
ERR2712818	29644	250	250	6895	2162	0	0	0	0	27482	247	250	5598	103	73	0	23879	86.89
ERR2712595	28589	250	250	4495	1574	0	0	1	0	27014	248	250	6277	375	247	4	22675	83.94
ERR2712900	35029	250	250	8447	3406	0	0	0	0	31623	247	250	5869	69	37	2	27203	86.02
ERR2712516	20978	250	250	3150	981	0	0	0	0	19997	249	250	4996	693	360	5	16806	84.04
ERR2712411	74130	250	250	21959	11249	0	1	2	0	62878	243	250	15560	2678	2015	15	56594	90.01
ERR2712763	25851	250	250	6429	1775	0	0	0	0	24076	247	250	4972	105	62	2	21183	87.98
ERR2712844	40252	250	251	11128	4128	0	0	0	0	36124	247	250	7695	506	291	4	31715	87.79
ERR2712407	43338	250	250	13458	6004	0	0	12	0	37322	245	250	11226	2903	2523	113	35058	93.93
ERR2712471	34518	250	250	9227	6270	0	0	23	0	28225	242	250	4910	128	117	4	27086	95.96
ERR2712760	16669	250	250	4344	1331	0	0	0	0	15338	247	250	3821	55	32	0	12896	84.08
ERR2712548	21970	250	250	3335	1159	0	0	0	0	20811	248	250	4767	343	190	3	17354	83.39
ERR2712442	30242	250	250	7935	4344	0	0	8	0	25890	245	250	4289	265	240	4	25114	97.0
ERR2712937	38681	250	250	10372	3314	0	0	1	0	35366	247	250	7070	51	30	1	30870	87.29
ERR2712790	40937	250	250	10931	3683	0	0	0	0	37254	247	250	10812	491	300	1	30072	80.72
ERR2712940	12811	250	250	4323	1204	0	0	0	0	11607	246	250	2124	28	22	0	10578	91.13
ERR2712538	16626	250	250	2977	861	0	0	0	0	15765	248	250	3747	342	186	1	12661	80.31
ERR2712636	27763	250	250	6489	4361	0	5	11	0	23386	246	250	3678	113	99	0	21741	92.97
ERR2712905	19834	250	250	5932	1746	0	0	0	0	18088	246	250	3204	48	41	0	16467	91.04
ERR2712415	47527	250	251	16014	11127	0	0	8	0	36392	237	250	8306	944	767	13	33619	92.38
ERR2712536	16691	250	250	3552	730	0	0	0	0	15961	249	250	3427	328	215	1	13867	86.88
