OTU	Kingdom	Phylum	Class	Order	Family	Genus	Specie
OTU_21	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK4A136 group	
OTU_420	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_274	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales vadinBB60 group		
OTU_410	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK4A136 group	
OTU_158	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	
OTU_265	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Parasutterella	
OTU_48	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_225	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_99	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae		
OTU_213	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium 5	
OTU_150	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_281	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_8	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-014	
OTU_479	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
OTU_6	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	
OTU_444	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	Triticum polonicum		
OTU_111	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-014	
OTU_193	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
OTU_397	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter	
OTU_416	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK4A136 group	
OTU_472	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae UCG-008	
OTU_304	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	
OTU_71	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales vadinBB60 group		
OTU_515	Bacteria	Firmicutes	Clostridia	Clostridiales	Defluviitaleaceae	Defluviitaleaceae UCG-011	
OTU_113	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK4A136 group	
OTU_37	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	
OTU_35	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	
OTU_55	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Candidatus Arthromitus	Candidatus Arthromitus sp. SFB-mouse-Yit
OTU_399	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_217	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_467	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		metagenome
OTU_207	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-014	
OTU_237	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_254	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_360							
OTU_377							
OTU_428	Bacteria						
OTU_503							
OTU_58	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	[Eubacterium] coprostanoligenes group	
OTU_319	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter	
OTU_439	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
OTU_23	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_114	Bacteria	Firmicutes	Clostridia	Clostridiales	Family XIII	[Eubacterium] nodatum group	
OTU_171	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae NK4A214 group	
OTU_324	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
